Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Dividend yield,From 52w high,Down from 52w high,Up from 52w low,Return over 1year
Hindustan Hardy,505893,,Auto Ancillaries,450.5,67.58,0.5,0.69,31.21,70.64,61.85
SagarSoft (India,540143,,Computers - Software - Medium / Small,218.4,139.61,0.92,0.84,16,77.85,61.87
Bharat Textiles,531029,,Textiles - Products,10.2,5.97,0,1,0,54.31,61.9
Alfa Ica (I),530973,,Miscellaneous,63,25.45,0,0.83,16.77,67.02,62
Tejas Networks,540595,TEJASNET,Telecommunications - Equipment,1108.75,18927.27,0,0.89,11.02,70.25,62.04
H.G. Infra Engg.,541019,HGINFRA,Construction,1510.5,9844.13,0.08,0.92,8.2,87.62,62.09
Maks Energy,,MAKS,Electric Equipment,59.2,41.05,0,0.5,49.83,111.05,62.19
Sundaram Finance,590071,SUNDARMFIN,Finance & Investments,4492.25,49908.88,0.65,0.9,10.12,80.4,62.47
Abhishek Finle.,538935,,Finance & Investments,39,16.63,0,0.89,10.8,91.18,62.5
NTC Industries,526723,,Cigarettes,120.5,143.93,0,0.78,21.75,69.72,62.5
Arrow Greentech,516064,ARROWGREEN,Plastics Products,574.45,866.73,0.17,0.91,9.26,93.09,62.55
VSF Projects,519331,,Construction,56.43,92.77,0,0.68,31.78,121.99,62.56
Voith Paper,522122,,Textiles - Products,1980,869.21,0.34,0.77,23.2,64.99,62.6
Abirami Fin.,511756,,Finance & Investments,56,30.24,3.57,0.66,34.13,172.64,62.62
Natl. Oxygen,507813,,Chemicals,142.5,71.82,0,0.77,22.93,72.73,62.75
Setco Automotive,505075,SETCO,Auto Ancillaries,10.64,142.33,0,0.73,26.57,74.71,62.79
Pankaj Polymers,531280,,Trading,8.84,4.9,0,0.89,11.42,,62.8
Fortune Interntl,530213,,Trading,45.4,31.97,0,0.58,42.39,62.14,62.8
City Pulse Multi,542727,,Entertainment / Electronic Media Software,130.3,43.23,0,0.99,1.29,97.42,62.88
Aryaman Fin.Serv,530245,,Finance & Investments,280,327.1,0,0.94,6.35,130.26,62.93
Regency Trust,511585,,Miscellaneous,3.58,3.58,0,0.93,7.01,132.47,62.95
Diligent Media,540789,DNAMEDIA,Entertainment / Electronic Media Software,4.5,51.86,0,0.63,37.24,75.78,62.96
Vibrant Glo. Cap,538732,,Finance & Investments,83,190.13,1.52,0.62,38.25,80.43,63.04
Chemfab Alka.,541269,CHEMFAB,Chemicals,530.55,754.78,0.23,0.71,28.69,74.29,63.05
Sh. Bajrang All.,526981,,Steel - Medium / Small,281.5,253.37,0,0.8,20.25,81.15,63.11
Suven Life Scie.,530239,SUVEN,Pharmaceuticals - Indian - Bulk Drugs & Formln,92.65,2020.49,0,0.72,28.18,61.95,63.11
Kuwer Industries,530421,,Packaging,12.4,11.25,0,0.81,19.32,67.57,63.16
A R C Finance,540135,,Finance & Investments,0.95,47.99,0,0.74,26.36,82.69,63.16
Eldeco Housing,523329,ELDEHSG,Construction,955,939.05,0.85,0.81,18.72,67.25,63.27
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,2352.85,88418.43,1.47,0.89,11.48,69.79,63.28
Sunshield Chem.,530845,,Chemicals,890,654.41,0.23,0.85,15.08,61.82,63.36
Apollo Finvest,512437,,Finance & Investments,786.55,293.47,0,0.58,42.16,70.99,63.39
Amber Enterp.,540902,AMBER,Electronics - Components,3600,12129.72,0,0.78,22,74.38,63.42
Adarsh Plant,526711,,Packaging,29,28.74,0,0.81,18.77,85.9,63.46
Voltas,500575,VOLTAS,Air-conditioners,1362.35,45078.07,0.31,0.91,9.32,82.87,63.62
Guj. Craft Inds,526965,,Packaging,116.25,56.84,0.86,0.64,35.77,70.96,63.63
Patel Integrated,526381,PATINTLOG,Miscellaneous,20.37,131.6,0.48,0.69,30.95,64.94,63.64
Pondy Oxides,532626,POCL,Mining / Minerals / Metals,630,732.35,0.77,0.7,30.49,78.7,63.68
Restile Ceramics,515085,,Ceramics - Tiles / Sanitaryware,4.94,48.54,0,0.84,15.56,77.06,63.73
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,999,17893.03,0.92,0.9,9.91,62.16,63.79
Fortis Health.,532843,FORTIS,Healthcare,475.95,35932.22,0.21,0.98,1.76,75.4,63.96
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,46.65,29.04,0,0.72,28.01,107.33,63.99
Vax Housing Fin.,531650,,Finance & Investments,2.97,3.56,0,0.94,5.71,76.79,64.09
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational,2633.65,71631.46,1.81,0.89,11.06,65.29,64.22
Intense Tech.,532326,INTENTECH,Computers - Software - Medium / Small,104.5,245.25,0.47,0.66,33.78,70.75,64.24
Dhunseri Invest.,533336,DHUNINV,Finance & Investments,1145,698.11,0.22,0.7,29.8,70.22,64.31
Gagan Gases,524624,,Chemicals,19.48,8.8,0,0.61,39.13,75.5,64.33
M P Agro Inds.,506543,,Fertilizers,11.49,6.67,0,0.91,8.59,111.6,64.34
Variman Global,540570,,Computers - Software - Medium / Small,24.4,474.78,0,0.72,28.24,121.62,64.37
ABM Knowledge,531161,,Computers - Software - Medium / Small,132,264.03,0.96,0.89,10.51,70.1,64.41
Steel Strips Inf,513173,,Construction,31.9,27.57,0,0.74,25.69,99.25,64.44
Shantidoot Infra,543598,,Construction,141.59,25.46,0,1,0,93.03,64.45
Shantai Indust.,512297,,Trading,43.39,6.51,0,0.85,14.92,108.61,64.46
Wonderla Holiday,538268,WONDERLA,Recreation / Amusement Parks,852.9,4825.16,0.29,0.77,22.93,67.22,64.51
Bosch,500530,BOSCHLTD,Auto Ancillaries,30099.95,88775.75,1.63,0.93,6.61,67.92,64.55
Zota Health Care,,ZOTA,Trading,464.3,1200.1,0.21,0.84,16.34,62.88,64.58
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,3667.4,504177.28,0.76,0.95,4.99,65.8,64.63
Infinium Pharma,,INFINIUM,Pharmaceuticals - Indian - Bulk Drugs,217.75,303.02,0,0.69,31.03,67.5,64.74
W I Plywoods,,WIPL,Miscellaneous,170.3,144.55,0.57,0.87,12.62,81.17,64.81
Glance Finance,531199,,Finance & Investments,94.77,21.39,0,0.87,13.13,86.89,64.82
Rossell India,533168,ROSSELLIND,Diversified - Medium / Small,441.6,1664.67,0.09,0.8,19.69,63.22,64.87
Panabyte Tech,538742,,Trading,25.27,11.08,0,0.83,17.01,90.57,64.93
Greenlam Industr,538979,GREENLAM,Miscellaneous,567.95,7245.57,0.24,0.86,14.21,57.74,64.93
Yogi Infra Proj.,522209,,Construction,5.97,10.06,0,0.85,14.71,90.13,64.93
Ecoboard Inds.,523732,,Miscellaneous,32,57.07,0,0.69,31.27,96.92,64.94
Castrol India,500870,CASTROLIND,Chemicals,194.8,19268.03,3.82,0.85,15.45,73.16,64.98
Ujjivan Fin.Ser.,539874,,Finance & Investments,589.5,7179.21,0.85,0.96,4.12,67.47,65.03
Riddhi Steel,540082,,Steel - Medium / Small,51.5,42.69,0,0.57,42.97,71.67,65.06
KHFM Hospitality,,KHFM,Miscellaneous,81.6,163.54,0,0.88,12.26,97.1,65.07
Premier,500540,PREMIER,Engineering,3.55,10.78,0,0.79,21.46,91.89,65.12
PNC Infratech,539150,PNCINFRA,Construction,519.25,13320.81,0.11,0.9,9.66,69.69,65.13
J B Chemicals &,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1778.3,27599.45,0.5,0.92,8.34,71.43,65.15
ERP Soft Systems,530909,,Computers - Software - Medium / Small,119,47.12,0,0.98,2.46,81.26,65.28
Shriram Properti,543419,SHRIRAMPPS,Construction,110.65,1884.6,0,0.79,21.5,75.77,65.34
Aneri Fincap,531252,,Finance & Investments,7.54,2.27,0,1,0.26,103.78,65.35
Amanaya Ventures,543804,,Trading,20.09,7.51,0,0.71,29.21,78.58,65.35
LWS Knitwear,531402,,Trading,28.22,14.28,0,0.7,30.48,133.22,65.42
Kamdhenu,532741,KAMDHENU,Steel - Medium / Small,506.45,1364.16,0.29,0.76,24.41,94.83,65.45
LKP Finance,507912,,Finance & Investments,132,165.91,2.27,0.49,50.93,84.87,65.52
Kobo Biotech,531541,,Pharmaceuticals - Indian - Bulk Drugs & Formln,4.22,10.05,0,0.7,29.78,106.86,65.54
Udaipur Cement,530131,UDAICEMENT,Cement - North India,36.64,2053.84,0,0.83,17.48,66.85,65.62
Solitaire Mach.,522152,,Engineering,86.3,39.17,2.02,0.82,17.81,72.26,65.66
AKM Creations,540718,,Trading,112,139.03,0,0.96,4.27,,65.67
Lead Financial S,531288,,Finance & Investments,20.63,6.79,0,0.82,18.13,109.44,65.68
Sadbhav Infra.,539346,SADBHIN,Construction,6.15,216.63,0,0.66,33.94,70.83,65.75
Ashika Credit,543766,,Finance & Investments,58.3,69.26,0,0.64,35.97,88.06,65.79
Beta Drugs Ltd,,BETA,Pharmaceuticals - Indian - Bulk Drugs,1202.25,1155.83,0,0.75,24.62,68.15,65.79
First Fintec,532379,,Computers - Software - Medium / Small,8.3,8.64,0,0.92,7.57,112.28,65.99
Sam Industries,532005,,Construction,86,95.36,0,0.68,31.94,89.01,66.06
Garnet Construct,526727,,Construction,25,34.74,0,0.86,13.79,113.68,66.12
K Z Leasing,511728,,Finance & Investments,32,9.73,0,0.75,24.71,134.09,66.15
PNB Gilts,532366,PNBGILTS,Finance & Investments,101.7,1830.7,0,0.79,20.83,67.55,66.18
Softsol India,532344,,Computers - Software - Medium / Small,231,341.05,0,0.67,32.81,75.67,66.27
Johnson Con. Hit,523398,JCHAC,Air-conditioners,1810,4921.39,0,0.97,3.42,92.97,66.3
Subhash Silk,530231,,Textiles - Products,23.55,9.99,0,0.71,29.26,86.9,66.31
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,1371.85,817628.18,0.29,0.97,2.5,67.5,66.33
Life Insurance,543526,LICI,Finance & Investments,1012.7,640532.55,0.99,0.86,13.81,70.19,66.34
Lak. Fin. & Indl,,LFIC,Finance & Investments,223.1,66.94,0.93,0.9,10.26,85.45,66.36
Indo National,504058,NIPPOBATRY,Dry Cells,589,441.75,0.82,0.69,31.34,69.37,66.4
Capital Trust,511505,CAPTRUST,Finance & Investments,114.8,187.85,0,0.78,22.33,71.34,66.43
NILE,530129,,Mining / Minerals / Metals,1129.15,338.77,0.28,0.71,28.98,71.1,66.58
Savera Industrie,512634,,Hotels,117.35,139.98,2.53,0.72,28.4,64.56,66.62
CG Power & Ind,500093,CGPOWER,Electric Equipment,641.65,98001.43,0.22,0.95,4.58,78.63,66.62
Godrej Industrie,500164,GODREJIND,Chemicals,788.75,26556.54,0,0.8,20.33,70.52,66.64
Aadi Industries,530027,,Plastics Products,6.13,6.13,0,0.69,31.12,103.65,66.67
LCC Infotech,532019,LCCINFOTEC,Computers - Education,2.99,37.85,0,0.91,9.39,86.88,66.67
Cont. Petroleums,523232,,Chemicals,81.69,45.43,0,0.72,28.34,86.72,66.71
Deep Industries,543288,DEEPINDS,Oil Drilling / Allied Services,277.8,1777.92,0.68,0.84,16.26,63.8,66.8
Parshwanath Corp,511176,,Construction,43.99,13.78,0,0.52,48.25,68.35,66.82
Accel,517494,,Computers - Software - Medium / Small,22,126.65,1.38,0.62,37.99,69.23,66.87
Unick Fix-A-Form,541503,,Printing & Stationery,72.87,39.97,0,0.93,7.41,91.76,66.92
Hind.Organ.Chem.,500449,,Chemicals,44.49,298.91,0,0.67,32.54,109.86,67.16
Ram Ratna Wires,522281,RAMRAT,Mining / Minerals / Metals,355,1562,0.7,0.85,14.65,67.14,67.16
Parag Milk Foods,539889,PARAGMILK,Food - Processing - Indian,169.1,2018.6,0,0.58,41.69,68.34,67.2
Marg Techno-Proj,540254,,Finance & Investments,25.68,15.41,0,0.61,38.62,83.3,67.3
Charter. Capital,511696,,Finance & Investments,260,78.26,0,0.96,4.39,,67.32
Pioneer Invest,507864,,Finance & Investments,51.38,63.18,0,0.92,8.09,84.22,67.34
Kridhan Infra,533482,KRIDHANINF,Trading,3.84,36.4,0,0.5,50,102.11,67.35
Z F Steering,505163,,Auto Ancillaries,1029.6,933.86,0.48,0.92,8.48,77.23,67.39
LIC Housing Fin.,500253,LICHSGFIN,Finance - Housing,633.15,34827.26,1.31,0.93,7.3,74.59,67.41
Dynavision,517238,,Miscellaneous,289.95,111.34,0,0.77,23.5,127.32,67.44
Morgan Ventures,526237,,Finance & Investments,51.1,50.6,0,0.76,23.73,79.74,67.54
Airo Lam,,AIROLAM,Miscellaneous,145.7,218.56,0,0.74,25.97,81.22,67.57
Athena Global,517429,,Computers - Software - Medium / Small,91.35,128.35,0,0.83,16.91,102.59,67.61
IZMO,532341,IZMO,Computers - Software - Medium / Small,290.85,402.05,0,0.78,22.02,93.58,67.65
Vikas Lifecare,542655,VIKASLIFE,Trading,4.98,847.68,0,0.62,37.75,77.86,67.8
Universal Cables,504212,UNIVCABLES,Cables - Power,612.4,2124.74,0.47,0.91,8.99,74.97,67.87
Rasi Electrodes,531233,,Electrodes - Welding Equipment,26.07,81.2,0,0.79,20.76,90.29,67.9
Kilitch Drugs,524500,KILITCH,Pharmaceuticals - Indian - Formulations,340.8,548.09,0,0.73,27.49,94.74,67.9
Invigorated Bus.,511716,,Finance & Investments,7.91,31.84,0,0.82,17.95,67.58,67.94
Sunteck Realty,512179,SUNTECK,Construction,469.15,6872.41,0.34,0.92,8.31,72.96,68.05
Dodla Dairy,543306,DODLA,Food - Processing - Indian,862.65,5132.16,0,0.8,20.43,68.82,68.06
DLF,532868,DLF,Construction,816.6,202133.91,0.5,0.84,15.61,76.93,68.07
Omfurn India,,OMFURN,Miscellaneous,61.5,72.41,0,0.62,37.69,98.13,68.12
Prime Securities,500337,PRIMESECU,Finance & Investments,198,659.12,0.25,0.95,5.35,85.22,68.21
Panchmahal Steel,513511,,Steel - Medium / Small,224.9,429.11,0,0.87,13.47,119.2,68.38
Palm Jewels,541444,,Trading,20.7,20.78,0,0.89,10.93,80,68.42
Cenlub Industrie,522251,,Engineering,353.85,165.02,0,0.58,41.93,94.37,68.51
Kaveri Seed Co.,532899,KSCL,Miscellaneous,848.15,4362.81,0.59,0.93,6.74,69.97,68.57
KLG Capital,530771,,Finance & Investments,11.72,3.75,0,1,0,120.3,68.63
V B Industries,539123,,Finance & Investments,7.07,9.27,0,0.82,18.08,148.07,68.7
L T Foods,532783,LTFOODS,Food - Processing - Indian,206,7153.44,0.25,0.88,12.19,79.05,68.73
Hercules Hoists,505720,HERCULES,Engineering,459.8,1471.36,0.44,0.79,21.27,79.82,68.77
Shahlon Silk,542862,,Textiles - Products,20.9,186.65,0.29,0.68,32.12,72.73,68.79
GEE,504028,,Electrodes - Welding Equipment,119.6,310.82,0,0.69,30.83,89.06,68.83
Kiran Print Pack,531413,,Trading,11.46,5.73,0,0.7,29.99,69.78,68.87
Ashram Online,526187,,Construction,6.97,8.39,0,0.87,12.77,93.61,68.96
Asi Industries,502015,,Mining / Minerals / Metals,25.7,231.47,0.77,0.63,37.01,97.54,69.02
Shree Ganesh Rem,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,619.65,795.27,0.09,0.84,15.81,86.89,69.02
Shyam Telecom,517411,SHYAMTEL,Trading,14.21,16.02,0,0.71,28.56,136.44,69.19
Saurashtra Cem.,502175,SAURASHCEM,Cement - North India,114.7,1272.98,0.88,0.88,12.17,97.76,69.2
Agarwal Float,,AGARWALFT,Trading,64,46.36,0,0.88,12.09,93.94,69.31
Saregama India,532163,SAREGAMA,Entertainment / Electronic Media Software,500,9650.43,0.79,0.98,2.16,70.24,69.33
Aditya Consumer,540146,,Trading,84,122.92,0,0.56,43.53,86.67,69.33
Tarai Foods,519285,,Food - Processing - Indian,8.86,15.71,0,0.48,52.29,102.75,69.4
Supra Trends,511539,,Textiles - Products,42.92,2.15,0,1,0,88.16,69.44
Riddhi Siddhi Gl,524480,,Trading,579.9,413.46,0.26,0.79,21.1,76.77,69.5
Goa Carbon,509567,GOACARBON,Petrochemicals,777.55,711.46,2.27,0.77,22.97,64.72,69.52
PCS Technology,517119,,Computers - Software - Medium / Small,24.91,52.19,0,0.67,33.2,93.85,69.61
Graphite India,509488,GRAPHITE,Electrodes - Graphites,566.6,11069.94,1.51,0.8,20.14,68.53,69.69
Praveg,531637,,Hotels,814,1996.98,0.56,0.63,37.38,80.89,69.86
Rajvi Logitrade,511185,,Miscellaneous,10.76,1.08,0,1,0,62.05,69.98
Sterling Powerg.,513575,,Engineering,24.34,12.42,0,0.9,9.55,102.83,70.01
BLS Internat.,540073,BLS,Computers - Software - Medium / Small,311.2,12813.37,0.24,0.72,27.63,75.13,70.04
Data Pattern,543428,DATAPATTNS,Electronics - Components,2960.4,16573.5,0.16,0.86,14.04,77.16,70.05
Surani Steel Tub,,SURANI,Steel - Medium / Small,383.8,408.13,0,0.52,47.75,143.14,70.09
Keynote Finan.,512597,KEYFINSERV,Finance & Investments,172.45,121.07,0.57,0.78,21.61,118.29,70.13
Rishiroop,526492,,Trading,172.85,158.42,0.84,0.77,23.3,92.06,70.24
Snowman Logistic,538635,SNOWMAN,Miscellaneous,61.15,1021.72,1.6,0.72,27.97,66.85,70.28
Acme Resources,539391,,Finance & Investments,33.05,85.1,0,0.43,56.79,60.44,70.32
Varun Beverages,540180,VBL,Food - Processing - Indian,1425.55,185236.45,0.17,0.91,8.73,88.98,70.37
Airan,543811,AIRAN,Computers - Software - Medium / Small,26.79,334.88,0,0.72,27.59,74.3,70.37
Ind Bank Housing,523465,,Finance - Housing,49.85,49.85,0,0.86,13.9,80.62,70.38
John Cockerill,500147,,Engineering,3630,1793.25,0.19,0.89,10.68,81.6,70.48
Kinetic Engg.,500240,,Auto Ancillaries,172.4,382.08,0,0.81,18.56,65.77,70.5
BASF India,500042,BASF,Chemicals,4266.1,18467.91,0.19,0.9,9.99,76.19,70.64
Lancor Holdings,509048,LANCORHOL,Construction,43.75,319.37,0,0.69,30.56,81.76,70.64
Utique Enterp.,500014,,Finance & Investments,8.49,47.24,0,0.72,28.35,88.67,70.66
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,1289.55,9793.06,0.35,0.8,20.35,70.63,70.66
Chemiesynth(Vapi,539230,,Chemicals,34.14,10.48,0,1,0,62.57,70.7
GP Petroleums,532543,GULFPETRO,Chemicals,60.5,308.44,0,0.67,32.93,69.47,70.99
Arfin India,539151,,Aluminium and Aluminium Products,49,826.74,0,0.78,21.85,101.23,71.01
Hindalco Inds.,500440,HINDALCO,Aluminium and Aluminium Products,689.25,154889.4,0.43,0.97,3.4,69.22,71.07
S H Kelkar & Co.,539450,SHK,Chemicals,192.5,2664.62,1.02,0.83,17.03,79.91,71.08
K C P,590066,KCP,Cement - South India,175,2256.13,0.06,0.75,25.21,71.82,71.22
eMudhra,543533,EMUDHRA,Computers - Software - Medium / Small,748,6194.33,0.18,0.86,14.02,107.4,71.28
Radhika Jeweltec,540125,RADHIKAJWE,Diamond Cutting / Jewellery,61.5,725.69,0.31,0.8,19.61,98.39,71.31
WEP Solutions,532373,,Computers - Hardware,33.36,122.11,1.46,0.62,38.16,75.58,71.37
Magadh Sugar,540650,MAGADSUGAR,Sugar,636.85,897.43,1.06,0.74,26.43,80.59,71.4
Deco-Mica,531227,,Miscellaneous,101.47,42.63,0,0.83,16.83,82.5,71.48
Emmessar Biotech,524768,,Chemicals,39.95,19.98,0,0.84,16.23,89.34,71.52
Kalyani Forge,513509,KALYANIFRG,Castings & Forgings,414.55,150.97,0.72,0.72,27.69,78.65,71.63
B P C L,500547,BPCL,Refineries,627.6,136142.34,3.37,0.91,8.77,89.35,71.65
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,926,18201.76,0.86,0.85,15.36,69.91,71.7
EMA India,522027,,Engineering,40,4.04,0,0.83,16.67,156.9,71.74
Rathi Bars,532918,,Steel - Medium / Small,38.47,62.82,0,0.68,31.81,88.58,71.77
Smart Finsec,539494,,Finance & Investments,13.27,39.81,0,0.59,40.73,95.15,71.8
Transchem,500422,,Miscellaneous,36.05,44.15,0,0.71,28.88,82.07,71.83
Mukesh Babu Fin.,530341,,Finance & Investments,135.5,94.44,0.91,0.79,21.2,67.28,71.87
V B Desai Fin.,511110,,Finance & Investments,16.6,7.52,0,0.8,20.46,118.13,71.88
Bank of India,532149,BANKINDIA,Banks - Public Sector,128.7,58592.8,2.11,0.81,18.54,85.42,71.88
IM+ Capitals,511628,,Finance & Investments,813.3,805.28,0,0.84,16.1,103.33,71.94
Creative Eye,532392,CREATIVEYE,Entertainment / Electronic Media Software,7.27,14.58,0,0.98,1.76,134.52,71.95
Prudent Corp.,543527,PRUDENT,Finance & Investments,1648.55,6826.07,0.09,0.91,8.76,87.1,71.95
Jumbo Bag,516078,,Packaging,41.29,34.55,0,0.66,34.44,92.94,72.11
Tega Inds.,543413,TEGA,Engineering,1488.7,9905.22,0.13,0.83,17.1,76.87,72.14
India Nipp.Elec.,532240,INDNIPPON,Auto Ancillaries,696.35,1575.32,1.46,0.86,14.33,85.08,72.15
Alkosign,543453,,Printing & Stationery,151,108.66,0,0.58,42.13,115.56,72.26
Gujarat Poly,517288,,Trading,83.25,71.15,0,0.77,22.85,80.98,72.28
Prospect Commod.,543814,,Trading,122.4,50.07,0,0.84,15.82,135.38,72.39
Punjab Commun.,500346,,Telecommunications - Equipment,51.98,62.49,0,0.75,24.67,92.45,72.57
DRC Systems,543268,DRCSYSTEMS,Computers - Software - Medium / Small,21.81,288.89,0,0.92,8.01,88.5,72.63
Tata Motors,500570,TATAMOTORS,Automobiles - LCVs / HCVs,922.85,338248.86,0.22,0.87,13.4,73.22,72.64
Ladam Affordab.,540026,,Construction,8.6,15.73,0,0.84,16.26,95.9,72.67
Pavna Industries,543915,PAVNAIND,Auto Ancillaries,545.35,664.3,0.18,0.85,14.9,105.79,72.67
Raunaq Intl.,537840,,Engineering - Turnkey Services,39.37,13.16,0,0.86,14.25,,72.68
Dharni Capital,543753,,Finance & Investments,44,89.63,0,0.84,15.87,83.72,72.75
Sudarshan Chem.,506655,SUDARSCHEM,Dyes And Pigments,785.85,5440.29,0.45,0.88,12.02,79.79,72.79
PCBL Ltd,506590,PCBL,Chemicals,233.6,8817.53,2.36,0.68,31.99,71.01,72.86
Visa Steel,532721,VISASTEEL,Mining / Minerals / Metals,19.2,222.32,0,0.74,25.84,80.28,72.97
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,144.6,799.58,0.87,0.72,28.2,73.17,73.05
Arvind SmartSp.,539301,ARVSMART,Construction,630,2856.69,0.26,0.82,17.54,114.21,73.11
Continental Seed,,CONTI,Trading,29.05,29.06,0,0.84,15.55,91.12,73.12
Amforge Inds.,513117,,Finance & Investments,10.44,15.02,0,0.61,39.27,139.45,73.15
Edelweiss.Fin.,532922,EDELWEISS,Finance & Investments,71.64,6761.27,2.08,0.82,18.41,104.69,73.22
Kotia Enterprise,539599,,Trading,20.25,14.21,0,0.9,10.2,91.04,73.22
Bhartiya Intl.,526666,BIL,Leather / Leather Products,413.85,505.3,0,0.85,14.67,123.7,73.57
O N G C,500312,ONGC,Oil Drilling / Allied Services,264.55,332811.27,4.26,0.9,9.69,73.42,73.58
MOS Utility,,MOS,Trading,180.7,450.59,0,0.86,13.85,129.9,73.62
Parsvnath Devl.,532780,PARSVNATH,Construction,12.56,546.58,0,0.73,27.36,78.16,73.65
Andrew Yule & Co,526173,,Diversified - Medium / Small,39.15,1914.26,0.02,0.57,43.16,75.96,73.81
Sarda Proteins,519242,,Trading,84.58,14.6,0,1,0,124.35,73.85
Niyogin Fintech,538772,,Finance & Investments,71.1,676.43,0,0.73,27.44,77.75,73.93
Sasken Technol.,532663,SASKEN,Computers - Software - Medium / Small,1462.55,2205.18,1.72,0.8,20.25,74.27,73.99
Hind.Tin Works,530315,,Packaging,159,165.37,0.75,0.64,36.11,76.65,74.05
Marksans Pharma,524404,MARKSANS,Pharmaceuticals - Indian - Formulations,148.3,6720.39,0.33,0.8,20.05,80.63,74.05
Zee Media,532794,ZEEMEDIA,Entertainment / Electronic Media Software,13.21,826.18,0,0.72,27.81,71.56,74.05
C.E. Info System,543425,MAPMYINDIA,Computers - Software - Medium / Small,1921.5,10389.93,0.16,0.82,18.02,76.75,74.11
Ahimsa Industrie,,AHIMSA,Plastics Products,15.15,8.29,0,0.96,3.81,76.16,74.14
Comfort Intech,531216,,Breweries & Distilleries,9.27,296.58,0.63,0.75,24.51,118.12,74.15
Arvee Laborat.,,ARVEE,Chemicals,193.05,212.74,0,0.61,38.71,96.79,74.39
Arihant Super.,506194,ARIHANTSUP,Construction,312,1284.22,0.16,0.75,25.12,97.78,74.49
Bombay Oxygen,509470,,Finance & Investments,18950,284.25,0.08,0.77,23.02,93.14,74.63
Elgi Rubber Co,,ELGIRUBCO,Miscellaneous,68.9,345.19,0,0.8,20.35,83.24,74.65
Smartlink Hold.,532419,SMARTLINK,Finance & Investments,273.8,273.12,0,0.79,20.94,81.14,74.73
Alfred Herbert,505216,,Finance & Investments,1275,98.18,0.27,0.68,32.39,89.97,74.85
Hind Aluminium,531979,,Power Generation And Supply,61,38.44,0,0.85,15.16,96.71,74.85
Thangamayil Jew.,533158,THANGAMAYL,Diamond Cutting / Jewellery,1237.1,3394.46,0.49,0.8,20.16,74.98,74.98
B.L.Kashyap,532719,BLKASHYAP,Construction,66.4,1496.91,0,0.75,25.31,78.02,75.03
W S Inds.,504220,WSI,Construction,137.7,693.02,0,0.71,29.02,90.72,75.06
Fourth Gen.,532403,,Computers - Software - Medium / Small,5.5,1.95,0,0.96,4.35,83.95,75.16
Escorts Kubota,500495,ESCORTS,Automobiles - Tractors,3812.95,42132.42,0.18,0.96,3.71,80.55,75.19
Tirupati Sarjan,531814,,Construction,16.4,54.15,0,0.83,17.38,98.79,75.22
Avonmore Capital,511589,AVONMORE,Finance & Investments,118.9,277.66,0,0.84,15.64,84.34,75.25
Chalet Hotels,542399,CHALET,Hotels,784.95,17119.81,0,0.82,18.15,95.75,75.31
Sharika Enterpr.,540786,,Trading,13.12,56.81,0,1,0,139.85,75.32
Parle Industries,532911,,Construction,12.2,17.08,0,0.66,33.66,94.89,75.36
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,2190,104046.95,0.36,0.95,5.35,70.88,75.37
Simplex Realty,503229,,Construction,159,47.52,0.63,0.87,13.4,98.75,75.44
Power Grid Corpn,532898,POWERGRID,Power Generation And Supply,309.45,287807.27,3.6,0.94,5.76,77.01,75.51
Navkar Corporat.,539332,NAVKARCORP,Miscellaneous,99.35,1495.43,0,0.79,20.87,85.35,75.62
Mukta Agricultur,535204,,Trading,4.73,10.26,0,0.94,6.34,85.49,75.77
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1276.15,5816.46,0.64,0.89,10.69,81.44,75.77
Guj Pipavav Port,533248,GPPL,Miscellaneous,194.5,9402.87,3.18,0.86,13.69,79.18,75.86
Futuristic Solu,534063,,Finance & Investments,106.85,111.88,0.94,0.81,19.05,139.9,75.88
Trimurthi,536565,,Finance & Investments,18.04,14.61,0,1,0,125.5,76
Le Merite Export,,LEMERITE,Trading,84.55,198.53,0.58,0.95,5,111.9,76.12
Menon Pistons,531727,,Auto Ancillaries,89.29,455.41,1.09,0.71,29.08,82.22,76.2
Repco Home Fin,535322,REPCOHOME,Finance - Housing,468.35,2930.04,0.55,0.86,13.75,81.32,76.27
Aion-Tech Soluti,531439,GOLDTECH,Computers - Software - Medium / Small,116.25,402.04,0,0.67,33.07,76.94,76.28
BLS Infotech,531175,,Trading,3.29,144,0,0.53,46.85,149.24,76.32
